,participant_id,Q1_province,Q1a_urban_rural,Q2_canadian_tenure,Q3_generation,Q5_identity_connection,Q11_tagline_text_combined,cleaned_text_tagline,main_topic_tagline,main_topic_label_tagline,main_topic_keywords_tagline,main_sentiment_tagline,main_topics_tagline,main_topic_keywords_tagline_list,count_tagline
0,794a74e1-0492-43df-b109-c7f21eb40688,Ontario,Urban (big city or downtown area),Less than 5 years,Millennial (born ~1981–1996),Very connected,The best country in the world,best country world,12,Best & World & Live & Greatest,"best, world, live, greatest",POSITIVE,Miscellaneous / Other,best,1
0,794a74e1-0492-43df-b109-c7f21eb40688,Ontario,Urban (big city or downtown area),Less than 5 years,Millennial (born ~1981–1996),Very connected,The best country in the world,best country world,12,Best & World & Live & Greatest,"best, world, live, greatest",POSITIVE,Miscellaneous / Other, world,1
0,794a74e1-0492-43df-b109-c7f21eb40688,Ontario,Urban (big city or downtown area),Less than 5 years,Millennial (born ~1981–1996),Very connected,The best country in the world,best country world,12,Best & World & Live & Greatest,"best, world, live, greatest",POSITIVE,Miscellaneous / Other, live,1
0,794a74e1-0492-43df-b109-c7f21eb40688,Ontario,Urban (big city or downtown area),Less than 5 years,Millennial (born ~1981–1996),Very connected,The best country in the world,best country world,12,Best & World & Live & Greatest,"best, world, live, greatest",POSITIVE,Miscellaneous / Other, greatest,1
1,e872b04c-0e81-4a9f-9420-b531839f10b7,Alberta,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),Very connected,Cooperation through collaboration,cooperation collaboration,1,Together & Reconciliation & Difference & Let,"together, reconciliation, difference, let",NEUTRAL,Miscellaneous / Other,together,1
1,e872b04c-0e81-4a9f-9420-b531839f10b7,Alberta,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),Very connected,Cooperation through collaboration,cooperation collaboration,1,Together & Reconciliation & Difference & Let,"together, reconciliation, difference, let",NEUTRAL,Miscellaneous / Other, reconciliation,1
1,e872b04c-0e81-4a9f-9420-b531839f10b7,Alberta,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),Very connected,Cooperation through collaboration,cooperation collaboration,1,Together & Reconciliation & Difference & Let,"together, reconciliation, difference, let",NEUTRAL,Miscellaneous / Other, difference,1
1,e872b04c-0e81-4a9f-9420-b531839f10b7,Alberta,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),Very connected,Cooperation through collaboration,cooperation collaboration,1,Together & Reconciliation & Difference & Let,"together, reconciliation, difference, let",NEUTRAL,Miscellaneous / Other, let,1
2,064a0333-001a-4a01-9c61-a53a11313dab,Alberta,Urban (big city or downtown area),5–10 years,Millennial (born ~1981–1996),Somewhat connected,,,7,De & Surprise & Still & Even,"de, surprise, still, even",NEUTRAL,Miscellaneous / Other,de,1
2,064a0333-001a-4a01-9c61-a53a11313dab,Alberta,Urban (big city or downtown area),5–10 years,Millennial (born ~1981–1996),Somewhat connected,,,7,De & Surprise & Still & Even,"de, surprise, still, even",NEUTRAL,Miscellaneous / Other, surprise,1
2,064a0333-001a-4a01-9c61-a53a11313dab,Alberta,Urban (big city or downtown area),5–10 years,Millennial (born ~1981–1996),Somewhat connected,,,7,De & Surprise & Still & Even,"de, surprise, still, even",NEUTRAL,Miscellaneous / Other, still,1
2,064a0333-001a-4a01-9c61-a53a11313dab,Alberta,Urban (big city or downtown area),5–10 years,Millennial (born ~1981–1996),Somewhat connected,,,7,De & Surprise & Still & Even,"de, surprise, still, even",NEUTRAL,Miscellaneous / Other, even,1
3,5dfe0715-76f9-4907-b19c-2321e08f1915,British Columbia,Urban (big city or downtown area),All my life,Gen Z (born ~1997–2012),Somewhat connected,built by liberals,built liberal,19,Liberal & Party & Destroyed & British,"liberal, party, destroyed, british",NEUTRAL,Politics & Governance,liberal,1
3,5dfe0715-76f9-4907-b19c-2321e08f1915,British Columbia,Urban (big city or downtown area),All my life,Gen Z (born ~1997–2012),Somewhat connected,built by liberals,built liberal,19,Liberal & Party & Destroyed & British,"liberal, party, destroyed, british",NEUTRAL,Miscellaneous / Other, party,1
3,5dfe0715-76f9-4907-b19c-2321e08f1915,British Columbia,Urban (big city or downtown area),All my life,Gen Z (born ~1997–2012),Somewhat connected,built by liberals,built liberal,19,Liberal & Party & Destroyed & British,"liberal, party, destroyed, british",NEUTRAL,Miscellaneous / Other, destroyed,1
3,5dfe0715-76f9-4907-b19c-2321e08f1915,British Columbia,Urban (big city or downtown area),All my life,Gen Z (born ~1997–2012),Somewhat connected,built by liberals,built liberal,19,Liberal & Party & Destroyed & British,"liberal, party, destroyed, british",NEUTRAL,Miscellaneous / Other, british,1
4,08d35fcd-acb8-4bfd-b88a-0086c96f1daa,Ontario,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),Very connected,We take criminals,take criminal,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",NEGATIVE,Canada & National Identity,nation,1
4,08d35fcd-acb8-4bfd-b88a-0086c96f1daa,Ontario,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),Very connected,We take criminals,take criminal,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",NEGATIVE,Canada & National Identity, country,1
4,08d35fcd-acb8-4bfd-b88a-0086c96f1daa,Ontario,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),Very connected,We take criminals,take criminal,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",NEGATIVE,Miscellaneous / Other, culture,1
4,08d35fcd-acb8-4bfd-b88a-0086c96f1daa,Ontario,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),Very connected,We take criminals,take criminal,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",NEGATIVE,Miscellaneous / Other, resource,1
5,78ae6541-c930-44f7-961b-a31905d3a5e3,Manitoba,Urban (big city or downtown area),20+ years,Millennial (born ~1981–1996),A little connected,A Canada for everyone.,canada everyone,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",NEUTRAL,Canada & National Identity,canada,1
5,78ae6541-c930-44f7-961b-a31905d3a5e3,Manitoba,Urban (big city or downtown area),20+ years,Millennial (born ~1981–1996),A little connected,A Canada for everyone.,canada everyone,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",NEUTRAL,Canada & National Identity, canadian,1
5,78ae6541-c930-44f7-961b-a31905d3a5e3,Manitoba,Urban (big city or downtown area),20+ years,Millennial (born ~1981–1996),A little connected,A Canada for everyone.,canada everyone,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",NEUTRAL,Miscellaneous / Other, wa,1
5,78ae6541-c930-44f7-961b-a31905d3a5e3,Manitoba,Urban (big city or downtown area),20+ years,Millennial (born ~1981–1996),A little connected,A Canada for everyone.,canada everyone,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",NEUTRAL,Miscellaneous / Other, value,1
6,40633526-b980-4686-82c1-2ef4ccfa38e2,Ontario,Suburban (residential area near a city),All my life,Gen X (born ~1965–1980),Very connected,Better yesterday than today.,better yesterday today,13,Better & Tomorrow & Today & Improving,"better, tomorrow, today, improving",POSITIVE,Miscellaneous / Other,better,1
6,40633526-b980-4686-82c1-2ef4ccfa38e2,Ontario,Suburban (residential area near a city),All my life,Gen X (born ~1965–1980),Very connected,Better yesterday than today.,better yesterday today,13,Better & Tomorrow & Today & Improving,"better, tomorrow, today, improving",POSITIVE,Hope & Future Outlook, tomorrow,1
6,40633526-b980-4686-82c1-2ef4ccfa38e2,Ontario,Suburban (residential area near a city),All my life,Gen X (born ~1965–1980),Very connected,Better yesterday than today.,better yesterday today,13,Better & Tomorrow & Today & Improving,"better, tomorrow, today, improving",POSITIVE,Miscellaneous / Other, today,1
6,40633526-b980-4686-82c1-2ef4ccfa38e2,Ontario,Suburban (residential area near a city),All my life,Gen X (born ~1965–1980),Very connected,Better yesterday than today.,better yesterday today,13,Better & Tomorrow & Today & Improving,"better, tomorrow, today, improving",POSITIVE,Growth & Prosperity, improving,1
7,0cfd8efa-260f-4ab5-8fd8-31d85495a3c0,Ontario,"Rural (small town, village, or countryside)",20+ years,Silent Generation (born before 1946),Very connected,We did it!,,7,De & Surprise & Still & Even,"de, surprise, still, even",NEUTRAL,Miscellaneous / Other,de,1
7,0cfd8efa-260f-4ab5-8fd8-31d85495a3c0,Ontario,"Rural (small town, village, or countryside)",20+ years,Silent Generation (born before 1946),Very connected,We did it!,,7,De & Surprise & Still & Even,"de, surprise, still, even",NEUTRAL,Miscellaneous / Other, surprise,1
7,0cfd8efa-260f-4ab5-8fd8-31d85495a3c0,Ontario,"Rural (small town, village, or countryside)",20+ years,Silent Generation (born before 1946),Very connected,We did it!,,7,De & Surprise & Still & Even,"de, surprise, still, even",NEUTRAL,Miscellaneous / Other, still,1
7,0cfd8efa-260f-4ab5-8fd8-31d85495a3c0,Ontario,"Rural (small town, village, or countryside)",20+ years,Silent Generation (born before 1946),Very connected,We did it!,,7,De & Surprise & Still & Even,"de, surprise, still, even",NEUTRAL,Miscellaneous / Other, even,1
8,79496335-2ce6-4c16-b638-60c55aa56ff8,British Columbia,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),Somewhat connected,The greatest nation in the world built on genocide.,greatest nation world built genocide,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",POSITIVE,Canada & National Identity,nation,1
8,79496335-2ce6-4c16-b638-60c55aa56ff8,British Columbia,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),Somewhat connected,The greatest nation in the world built on genocide.,greatest nation world built genocide,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",POSITIVE,Canada & National Identity, country,1
8,79496335-2ce6-4c16-b638-60c55aa56ff8,British Columbia,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),Somewhat connected,The greatest nation in the world built on genocide.,greatest nation world built genocide,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",POSITIVE,Miscellaneous / Other, culture,1
8,79496335-2ce6-4c16-b638-60c55aa56ff8,British Columbia,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),Somewhat connected,The greatest nation in the world built on genocide.,greatest nation world built genocide,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",POSITIVE,Miscellaneous / Other, resource,1
9,f996f79b-8558-4575-ab32-59b4bb2cd869,Ontario,Urban (big city or downtown area),20+ years,Boomer (born ~1946–1964),Very connected,A country with great beginnings that is now trying to destroy itself.,country great beginning trying destroy,42,Destroy & Defeated & Often & Oppose,"destroy, defeated, often, oppose",POSITIVE,Miscellaneous / Other,destroy,1
